type	patent_id	fulfilled_date	project.project_id
patent	US-11186574-B2	29-Nov-2021	2P01CA154303-06
patent	US-11186574-B2	29-Nov-2021	5P01CA154303-07
patent	US-11186574-B2	29-Nov-2021	5P01CA154303-08
patent	US-11186574-B2	29-Nov-2021	5P01CA154303-09
patent	US-11186574-B2	29-Nov-2021	5P01CA154303-10
patent	US-20210085688-A1	24-Mar-2021	2P01CA154303-06
patent	US-20210085688-A1	24-Mar-2021	5P01CA154303-07
patent	US-20210085688-A1	24-Mar-2021	5P01CA154303-08
patent	US-20210085688-A1	24-Mar-2021	5P01CA154303-09
patent	US-20210085688-A1	24-Mar-2021	5P01CA154303-10
patent	US-20210077469-A1	17-Mar-2021	2P01CA154303-06
patent	US-20210077469-A1	17-Mar-2021	5P01CA154303-07
patent	US-20210077469-A1	17-Mar-2021	5P01CA154303-08
patent	US-20210077469-A1	17-Mar-2021	5P01CA154303-09
patent	US-20210077469-A1	17-Mar-2021	5P01CA154303-10
patent	US-10870636-B2	21-Dec-2020	2P01CA154303-06
patent	US-10870636-B2	21-Dec-2020	5P01CA154303-07
patent	US-10870636-B2	21-Dec-2020	5P01CA154303-08
patent	US-10870636-B2	21-Dec-2020	5P01CA154303-09
patent	US-10870636-B2	21-Dec-2020	5P01CA154303-10
patent	US-20210078977-A1	17-Mar-2021	2P01CA154303-06
patent	US-20210078977-A1	17-Mar-2021	5P01CA154303-07
patent	US-20210078977-A1	17-Mar-2021	5P01CA154303-08
patent	US-20210078977-A1	17-Mar-2021	5P01CA154303-09
patent	US-20210078977-A1	17-Mar-2021	5P01CA154303-10
patent	US-20200377879-A1	2-Dec-2020	2P01CA154303-06
patent	US-20200377879-A1	2-Dec-2020	5P01CA154303-07
patent	US-20200377879-A1	2-Dec-2020	5P01CA154303-08
patent	US-20200377879-A1	2-Dec-2020	5P01CA154303-09
patent	US-20200377879-A1	2-Dec-2020	5P01CA154303-10
patent	US-20200375999-A1	2-Dec-2020	2P01CA154303-06
patent	US-20200375999-A1	2-Dec-2020	5P01CA154303-07
patent	US-20200375999-A1	2-Dec-2020	5P01CA154303-08
patent	US-20200375999-A1	2-Dec-2020	5P01CA154303-09
patent	US-20200375999-A1	2-Dec-2020	5P01CA154303-10
patent	US-20190106417-A1	10-Apr-2019	2P01CA154303-06
patent	US-20190106417-A1	10-Apr-2019	5P01CA154303-07
patent	US-20190106417-A1	10-Apr-2019	5P01CA154303-08
patent	US-20190106417-A1	10-Apr-2019	5P01CA154303-09
patent	US-20190106417-A1	10-Apr-2019	5P01CA154303-10
patent	US-10450310-B2	21-Oct-2019	2P01CA154303-06
patent	US-10450310-B2	21-Oct-2019	5P01CA154303-07
patent	US-10450310-B2	21-Oct-2019	5P01CA154303-08
patent	US-10450310-B2	21-Oct-2019	5P01CA154303-09
patent	US-10450310-B2	21-Oct-2019	5P01CA154303-10
patent	US-20200102298-A1	1-Apr-2020	2P01CA154303-06
patent	US-20200102298-A1	1-Apr-2020	5P01CA154303-07
patent	US-20200102298-A1	1-Apr-2020	5P01CA154303-08
patent	US-20200102298-A1	1-Apr-2020	5P01CA154303-09
patent	US-20200102298-A1	1-Apr-2020	5P01CA154303-10
patent	US-11161842-B2	1-Nov-2021	2P01CA154303-06
patent	US-11161842-B2	1-Nov-2021	5P01CA154303-07
patent	US-11161842-B2	1-Nov-2021	5P01CA154303-08
patent	US-11161842-B2	1-Nov-2021	5P01CA154303-09
patent	US-11161842-B2	1-Nov-2021	5P01CA154303-10
patent	US-20220017510-A1	19-Jan-2022	2P01CA154303-06
patent	US-20220017510-A1	19-Jan-2022	5P01CA154303-07
patent	US-20220017510-A1	19-Jan-2022	5P01CA154303-08
patent	US-20220017510-A1	19-Jan-2022	5P01CA154303-09
patent	US-20220017510-A1	19-Jan-2022	5P01CA154303-10
patent	US-20180290975-A1	10-Oct-2018	2P01CA154303-06
patent	US-20180290975-A1	10-Oct-2018	5P01CA154303-07
patent	US-20180290975-A1	10-Oct-2018	5P01CA154303-08
patent	US-20180290975-A1	10-Oct-2018	5P01CA154303-09
patent	US-20180290975-A1	10-Oct-2018	5P01CA154303-10
patent	US-10385019-B2	19-Aug-2019	2P01CA154303-06
patent	US-10385019-B2	19-Aug-2019	5P01CA154303-07
patent	US-10385019-B2	19-Aug-2019	5P01CA154303-08
patent	US-10385019-B2	19-Aug-2019	5P01CA154303-09
patent	US-10385019-B2	19-Aug-2019	5P01CA154303-10
patent	US-20200002279-A1	1-Jan-2020	2P01CA154303-06
patent	US-20200002279-A1	1-Jan-2020	5P01CA154303-07
patent	US-20200002279-A1	1-Jan-2020	5P01CA154303-08
patent	US-20200002279-A1	1-Jan-2020	5P01CA154303-09
patent	US-20200002279-A1	1-Jan-2020	5P01CA154303-10
patent	US-10836722-B2	16-Nov-2020	2P01CA154303-06
patent	US-10836722-B2	16-Nov-2020	5P01CA154303-07
patent	US-10836722-B2	16-Nov-2020	5P01CA154303-08
patent	US-10836722-B2	16-Nov-2020	5P01CA154303-09
patent	US-10836722-B2	16-Nov-2020	5P01CA154303-10
patent	US-20210094913-A1	31-Mar-2021	2P01CA154303-06
patent	US-20210094913-A1	31-Mar-2021	5P01CA154303-07
patent	US-20210094913-A1	31-Mar-2021	5P01CA154303-08
patent	US-20210094913-A1	31-Mar-2021	5P01CA154303-09
patent	US-20210094913-A1	31-Mar-2021	5P01CA154303-10
patent	US-20180194758-A1	11-Jul-2018	2P01CA154303-06
patent	US-20180194758-A1	11-Jul-2018	5P01CA154303-07
patent	US-20180194758-A1	11-Jul-2018	5P01CA154303-08
patent	US-20180194758-A1	11-Jul-2018	5P01CA154303-09
patent	US-20180194758-A1	11-Jul-2018	5P01CA154303-10
patent	US-10550112-B2	3-Feb-2020	2P01CA154303-06
patent	US-10550112-B2	3-Feb-2020	5P01CA154303-07
patent	US-10550112-B2	3-Feb-2020	5P01CA154303-08
patent	US-10550112-B2	3-Feb-2020	5P01CA154303-09
patent	US-10550112-B2	3-Feb-2020	5P01CA154303-10
patent	US-20170130271-A1	10-May-2017	2P01CA154303-06
patent	US-20170130271-A1	10-May-2017	5P01CA154303-07
patent	US-20170130271-A1	10-May-2017	5P01CA154303-08
patent	US-20170130271-A1	10-May-2017	5P01CA154303-09
patent	US-20170130271-A1	10-May-2017	5P01CA154303-10
patent	US-9950047-B2	23-Apr-2018	2P01CA155258-06
patent	US-9950047-B2	23-Apr-2018	5P01CA155258-07
patent	US-9950047-B2	23-Apr-2018	3P01CA155258-07S1
patent	US-9950047-B2	23-Apr-2018	3P01CA155258-07S2
patent	US-9950047-B2	23-Apr-2018	5P01CA155258-08
patent	US-9950047-B2	23-Apr-2018	5P01CA155258-09
patent	US-9950047-B2	23-Apr-2018	5P01CA155258-10
patent	US-20180133297-A1	16-May-2018	2P01CA155258-06
patent	US-20180133297-A1	16-May-2018	5P01CA155258-07
patent	US-20180133297-A1	16-May-2018	3P01CA155258-07S1
patent	US-20180133297-A1	16-May-2018	3P01CA155258-07S2
patent	US-20180133297-A1	16-May-2018	5P01CA155258-08
patent	US-20180133297-A1	16-May-2018	5P01CA155258-09
patent	US-20180133297-A1	16-May-2018	5P01CA155258-10
patent	US-20210170004-A1	9-Jun-2021	2P01CA155258-06
patent	US-20210170004-A1	9-Jun-2021	5P01CA155258-07
patent	US-20210170004-A1	9-Jun-2021	3P01CA155258-07S1
patent	US-20210170004-A1	9-Jun-2021	3P01CA155258-07S2
patent	US-20210170004-A1	9-Jun-2021	5P01CA155258-08
patent	US-20210170004-A1	9-Jun-2021	5P01CA155258-09
patent	US-20210170004-A1	9-Jun-2021	5P01CA155258-10
patent	US-20200370013-A1	25-Nov-2020	1P01CA214278-01
patent	US-20200370013-A1	25-Nov-2020	5P01CA214278-02
patent	US-20200370013-A1	25-Nov-2020	3P01CA214278-02S1
patent	US-20200370013-A1	25-Nov-2020	5P01CA214278-03
patent	US-20200370013-A1	25-Nov-2020	3P01CA214278-03S1
patent	US-20200370013-A1	25-Nov-2020	5P01CA214278-04
patent	US-20200370013-A1	25-Nov-2020	5P01CA214278-05
patent	US-20210155695-A1	26-May-2021	5P50CA186786-04
patent	US-20210155695-A1	26-May-2021	5P50CA186786-05
patent	US-20210155695-A1	26-May-2021	2P50CA186786-06
patent	US-20210155695-A1	26-May-2021	5P50CA186786-07
patent	US-20210155695-A1	26-May-2021	3P50CA186786-07S1
patent	US-20210155695-A1	26-May-2021	5P50CA186786-08
patent	US-20210155695-A1	26-May-2021	3P50CA186786-08S1
patent	US-20190382415-A1	18-Dec-2019	5P50CA186786-04
patent	US-20190382415-A1	18-Dec-2019	5P50CA186786-05
patent	US-20190382415-A1	18-Dec-2019	2P50CA186786-06
patent	US-20190382415-A1	18-Dec-2019	5P50CA186786-07
patent	US-20190382415-A1	18-Dec-2019	3P50CA186786-07S1
patent	US-20190382415-A1	18-Dec-2019	5P50CA186786-08
patent	US-20190382415-A1	18-Dec-2019	3P50CA186786-08S1
patent	US-11046709-B2	28-Jun-2021	5P50CA186786-04
patent	US-11046709-B2	28-Jun-2021	5P50CA186786-05
patent	US-11046709-B2	28-Jun-2021	2P50CA186786-06
patent	US-11046709-B2	28-Jun-2021	5P50CA186786-07
patent	US-11046709-B2	28-Jun-2021	3P50CA186786-07S1
patent	US-11046709-B2	28-Jun-2021	5P50CA186786-08
patent	US-11046709-B2	28-Jun-2021	3P50CA186786-08S1
patent	US-20190307787-A1	9-Oct-2019	5P50CA186786-04
patent	US-20190307787-A1	9-Oct-2019	5P50CA186786-05
patent	US-20190307787-A1	9-Oct-2019	2P50CA186786-06
patent	US-20190307787-A1	9-Oct-2019	5P50CA186786-07
patent	US-20190307787-A1	9-Oct-2019	3P50CA186786-07S1
patent	US-20190307787-A1	9-Oct-2019	5P50CA186786-08
patent	US-20190307787-A1	9-Oct-2019	3P50CA186786-08S1
patent	US-11013754-B2	24-May-2021	5P50CA186786-04
patent	US-11013754-B2	24-May-2021	5P50CA186786-05
patent	US-11013754-B2	24-May-2021	2P50CA186786-06
patent	US-11013754-B2	24-May-2021	5P50CA186786-07
patent	US-11013754-B2	24-May-2021	3P50CA186786-07S1
patent	US-11013754-B2	24-May-2021	5P50CA186786-08
patent	US-11013754-B2	24-May-2021	3P50CA186786-08S1
patent	US-20200354348-A1	11-Nov-2020	3R00CA181500-04S1
patent	US-20200354348-A1	11-Nov-2020	5R00CA181500-05
patent	US-20200095323-A1	25-Mar-2020	3R01AI084880-07S1
patent	US-20200095323-A1	25-Mar-2020	3R01AI084880-08S1
patent	US-20210069197-A1	10-Mar-2021	3R01AI124487-02S1
patent	US-20210069197-A1	10-Mar-2021	3R01AI124487-03S1
patent	US-20180284118-A1	3-Oct-2018	3R01AR050026-12A1S1
patent	US-20180284118-A1	3-Oct-2018	3R01AR050026-13S1
patent	US-20180280503-A1	3-Oct-2018	3R01AR050026-12A1S1
patent	US-20180280503-A1	3-Oct-2018	3R01AR050026-13S1
patent	US-20180346988-A1	5-Dec-2018	5R01CA124633-10
patent	US-20180346988-A1	5-Dec-2018	2R01CA124633-11A1
patent	US-20180346988-A1	5-Dec-2018	3R01CA124633-11A1S1
patent	US-20180346988-A1	5-Dec-2018	5R01CA124633-12
patent	US-20180346988-A1	5-Dec-2018	3R01CA124633-12S1
patent	US-20180346988-A1	5-Dec-2018	5R01CA124633-13
patent	US-20180346988-A1	5-Dec-2018	5R01CA124633-14
patent	US-20170007595-A1	11-Jan-2017	5R01CA124633-10
patent	US-20170007595-A1	11-Jan-2017	2R01CA124633-11A1
patent	US-20170007595-A1	11-Jan-2017	3R01CA124633-11A1S1
patent	US-20170007595-A1	11-Jan-2017	5R01CA124633-12
patent	US-20170007595-A1	11-Jan-2017	3R01CA124633-12S1
patent	US-20170007595-A1	11-Jan-2017	5R01CA124633-13
patent	US-20170007595-A1	11-Jan-2017	5R01CA124633-14
patent	US-10689392-B2	22-Jun-2020	5R01CA143971-07
patent	US-10689392-B2	22-Jun-2020	3R01CA143971-07S1
